TCP_ID,ESTC_ID
K064569.000,T77543
K064571.000,T77545
K064572.000,T77546
K064573.000,T77547
K064574.000,T77548
K064631.002,T77691
K064720.000,T77871
K064728.000,T77884
K064763.000,T77983
K064766.000,T77986
K064769.000,T77989
K064770.000,T77990
K064798.000,T78021
K064831.002,T78058
K065082.001,T78366
K065082.002,T78366
K065082.003,T78366
K065082.004,T78366
K065082.005,T78366
K065082.006,T78366
K065341.000,T78855
K065474.000,T79031
K065604.000,T79309
K065605.000,T79310
K065650.000,T79362
K065850.000,T79684
K065853.000,T79690
K065858.001,T79696
K066039.000,T80012
K066227.000,T80551
K066398.000,T80840
K066400.000,T80842
K066457.000,T80958
K066527.000,T81100
K066529.000,T81102
K066531.000,T81104
K066533.000,T81106
K066629.001,T81227
K066629.002,T81227
K066646.001,T81254
K066646.002,T81254
K066800.000,T81509
K066805.000,T81514
K066811.000,T81521
K066841.000,T81552
K067073.000,T81987
K067205.000,T82160
K067329.000,T82397
K067383.001,T82467
K067383.002,T82467
K067477.000,T82608
K067567.000,T82722
K067641.001,T82891
K067641.002,T82891
K067641.003,T82891
K067641.004,T82891
K067641.005,T82891
K067975.000,T83386
K068010.000,T83424
K068107.000,T83535
K068147.000,T83577
K068154.001,T83587
K068154.002,T83587
K068251.000,T83707
K068278.000,T83743
K068460.000,T83949
K068536.000,T84034
K068719.000,T84272
K068720.000,T84273
K069107.000,T84741
K069226.000,T84913
K069565.000,T85345
K069755.000,T85573
K069822.000,T85664
K069951.000,T85824
K069952.000,T85825
K069955.001,T85828
K069955.002,T85828
K069955.003,T85828
K069956.001,T85829
K069956.002,T85829
K069956.003,T85829
K069956.005,T85829
K069966.000,T85839
K070022.001,T85928
K070022.002,T85928
K070174.000,T86133
K070362.001,T86362
K070362.002,T86362
K070549.000,T86648
K070577.000,T86683
K070844.001,T87008
